Draw,Date,Letter,Numbers...
0545,Thursday October 02, 2025,N,5,8,3,5,8,6,3,5,8
0546,Friday October 03, 2025,N,4,0,8,4,0,3,8,4,0
0547,Saturday October 04, 2025,Z,7,2,5,7,2,3,5,7,2
0548,Sunday October 05, 2025,Q,0,1,1,0,1,7,1,0,1
0549,Monday October 06, 2025,V,3,7,0,3,7,7,0,3,7
0550,Tuesday October 07, 2025,K,8,1,1,8,1,5,1,8,1
0551,Wednesday October 08, 2025,Y,7,7,3,7,7,4,3,7,7
0552,Thursday October 09, 2025,Z,7,3,4,7,3,0,4,7,3
0553,Friday October 10, 2025,N,2,5,3,2,5,5,3,2,5
0554,Saturday October 11, 2025,K,5,5,1,5,5,7,1,5,5
0555,Sunday October 12, 2025,F,5,0,1,5,0,4,1,5,0
0556,Monday October 13, 2025,A,9,4,6,9,4,6,6,9,4
0557,Tuesday October 14, 2025,B,3,2,9,3,2,9,9,3,2
0558,Wednesday October 15, 2025,D,4,4,5,4,4,0,5,4,4
0559,Thursday October 16, 2025,X,2,7,1,2,7,3,1,2,7
0560,Friday October 17, 2025,H,2,2,7,2,2,2,7,2,2
0561,Saturday October 18, 2025,N,3,0,9,3,0,7,9,3,0
0562,Sunday October 19, 2025,N,6,3,1,6,3,0,1,6,3
0563,Monday October 20, 2025,H,4,8,2,4,8,0,2,4,8
0564,Tuesday October 21, 2025,Q,8,6,1,8,6,5,1,8,6
0565,Wednesday October 22, 2025,O,8,5,9,8,5,2,9,8,5
0566,Thursday October 23, 2025,C,7,3,2,7,3,6,2,7,3
0567,Friday October 24, 2025,D,3,3,0,3,3,3,0,3,3
0568,Saturday October 25, 2025,J,4,0,9,4,0,3,9,4,0
0569,Sunday October 26, 2025,G,8,4,4,8,4,0,4,8,4
0570,Monday October 27, 2025,T,4,7,3,4,7,6,3,4,7
0571,Tuesday October 28, 2025,X,2,8,7,2,8,7,7,2,8
0572,Wednesday October 29, 2025,G,4,9,3,4,9,5,3,4,9
0573,Thursday October 30, 2025,M,2,5,8,2,5,6,8,2,5
0574,Friday October 31, 2025,Y,4,9,3,4,9,2,3,4,9
0575,Saturday November 01, 2025,P,5,1,4,5,1,9,4,5,1
0576,Sunday November 02, 2025,R,7,6,4,7,6,5,4,7,6
0577,Monday November 03, 2025,D,5,7,7,5,7,3,7,5,7
0578,Tuesday November 04, 2025,A,8,7,6,8,7,8,6,8,7
0579,Wednesday November 05, 2025,D,5,1,2,5,1,4,2,5,1
0580,Thursday November 06, 2025,F,7,8,8,7,8,1,8,7,8
0581,Friday November 07, 2025,S,3,0,1,3,0,1,1,3,0
0582,Saturday November 08, 2025,Q,7,8,2,7,8,0,2,7,8
0583,Sunday November 09, 2025,M,6,0,2,6,0,4,2,6,0
0584,Monday November 10, 2025,Y,6,3,9,6,3,0,9,6,3
0585,Tuesday November 11, 2025,Y,6,7,9,6,7,6,9,6,7
0586,Wednesday November 12, 2025,M,5,3,1,5,3,8,1,5,3
0587,Thursday November 13, 2025,K,8,5,8,8,5,9,8,8,5
0588,Friday November 14, 2025,Q,1,8,0,1,8,1,0,1,8
0589,Saturday November 15, 2025,Z,0,2,8,0,2,3,8,0,2
0590,Sunday November 16, 2025,T,9,5,2,9,5,5,2,9,5
0591,Monday November 17, 2025,V,6,6,2,6,6,2,2,6,6
0592,Tuesday November 18, 2025,E,8,2,6,8,2,4,6,8,2
0593,Wednesday November 19, 2025,W,8,1,6,8,1,9,6,8,1
0594,Thursday November 20, 2025,O,4,8,6,4,8,6,6,4,8
0595,Friday November 21, 2025,H,1,6,0,1,6,3,0,1,6
0596,Saturday November 22, 2025,P,7,9,3,7,9,3,3,7,9
0597,Sunday November 23, 2025,S,0,7,9,0,7,4,9,0,7
0598,Monday November 24, 2025,J,5,8,0,5,8,3,0,5,8
0599,Tuesday November 25, 2025,S,6,3,3,6,3,0,3,6,3
