Draw,Date,Letter,Numbers...
2000,Thursday October 02, 2025,A,18,32,48,66
2001,Friday October 03, 2025,N,32,40,50,82
2002,Saturday October 04, 2025,R,20,55,74,80
2003,Sunday October 05, 2025,Z,04,50,57,60
2004,Monday October 06, 2025,T,28,45,49,60
2005,Tuesday October 07, 2025,K,06,24,28,72
2006,Wednesday October 08, 2025,J,01,04,59,67
2007,Thursday October 09, 2025,O,11,23,42,63
2008,Friday October 10, 2025,S,14,24,41,50
2009,Saturday October 11, 2025,G,06,24,25,80
2010,Sunday October 12, 2025,E,38,46,54,67
2011,Monday October 13, 2025,Z,07,10,24,62
2012,Tuesday October 14, 2025,A,36,45,46,54
2013,Wednesday October 15, 2025,L,04,13,65,69
2014,Thursday October 16, 2025,F,2,52,75,81
2015,Friday October 17, 2025,D,14,30,48,59
2016,Saturday October 18, 2025,G,14,37,52,81
2017,Sunday October 19, 2025,Q,34,64,66,75
2018,Monday October 20, 2025,B,27,28,43,44
2019,Tuesday October 21, 2025,F,02,05,24,49
2020,Wednesday October 22, 2025,K,06,26,32,66
2021,Thursday October 23, 2025,N,04,24,41,81
2022,Friday October 24, 2025,Q,21,25,46,80
2023,Saturday October 25, 2025,O,10,18,28,63
2024,Sunday October 26, 2025,H,15,60,79,80
2025,Monday October 27,,T,19,41,61,67
2026,Tuesday October 28, 2025,U,43,54,60,70
2027,Wednesday October 29, 2025,Z,4,10,71,72
2028,Thursday October 30, 2025,S,3,34,38,57
2029,Friday October 31, 2025,U,15,39,59,70
2030,Saturday November 01, 2025,P,20,25,28,55
2031,Sunday November 02, 2025,P,02,31,37,56
2032,Monday November 03, 2025,C,40,42,57,58
2033,Tuesday November 04, 2025,Q,03,46,50,76
2034,Wednesday November 05, 2025,V,10,19,36,69
2035,Thursday November 06, 2025,U,9,12,65,80
2036,Friday November 07, 2025,C,16,53,57,77
2037,Saturday November 08, 2025,X,04,08,09,32
2038,Sunday November 09, 2025,E,06,09,15,68
2039,Monday November 10, 2025,R,02,10,22,49
2040,Tuesday November 11, 2025,G,23,44,49,56
2041,Wednesday November 12, 2025,U,10,12,29,52
2042,Thursday November 13, 2025,W,09,32,61,76
2043,Friday November 14, 2025,Q,19,21,59,69
2044,Saturday November 15, 2025,O,02,49,52,69
2045,Sunday November 16, 2025,V,6,28,49,67
2046,Monday November 17, 2025,A,09,16,31,43
2047,Tuesday November 18, 2025,W,30,34,55,71
2048,Wednesday November 19, 2025,S,16,50,57,71
2049,Thursday November 20, 2025,D,33,35,54,80
2050,Friday November 21, 2025,B,12,29,41,44
2051,Saturday November 22, 2025,I,04,24,49,57
2052,Sunday November 23, 2025,H,03,37,50,73
2053,Monday November 24, 2025,N,03,49,51,54
2054,Tuesday November 25, 2025,C,1,15,34,53
2055,Wednesday November 26, 2025,V,71,74,78,82
2056,Thursday November 27, 2025,B,43,49,67,75
2057,Friday November 28, 2025,I,3,6,16,28
2058,Saturday November 29, 2025,F,9,13,45,80
2059,Sunday November 30, 2025,T,41,57,63,70
2060,Monday December 01, 2025,G,18,46,54,57
2061,Tuesday December 02, 2025,G,05,26,32,49
2062,Wednesday December 03, 2025,D,49,53,70,79
2063,Thursday December 04, 2025,F,28,33,51,69
2064,Friday December 05, 2025,V,10,21,22,25
2065,Saturday December 06, 2025,W,03,29,37,76
2066,Sunday December 07, 2025,M,30,44,46,61
2067,Monday December 08, 2025,L,24,55,56,61
2068,Tuesday December 09, 2025,U,06,11,16,28
2069,Wednesday December 10, 2025,E,36,40,45,75
2070,Thursday December 11, 2025,V,22,26,44,73
2071,Friday December 12, 2025,W,04,27,33,43
2072,Saturday December 13, 2025,I,16,32,57,77
2073,Sunday December 14, 2025,V,01,60,69,70
2074,Monday December 15, 2025,G,03,10,30,75
2075,Tuesday December 16, 2025,W,04,15,64,67
2076,Wednesday December 17, 2025,O,26,42,65,80
2077,Thursday December 18, 2025,S,9,46,62,64
2078,Friday December 19, 2025,K,17,19,50,62
2079,Saturday December 20, 2025,J,7,21,28,36
2080,Sunday December 21, 2025,Y,18,19,60,81
2081,Monday December 22, 2025,X,20,61,69,77
2082,Tuesday December 23, 2025,J,11,39,45,57
2083,Wednesday December 24, 2025,N,18,46,70,79
2084,Thursday December 25, 2025,M,3,7,18,70
2085,Friday December 26, 2025,G,14,39,44,80
2086,Saturday December 27, 2025,P,07,50,51,58
2087,Sunday December 28, 2025,F,27,32,51,64
2088,Monday December 29, 2025,L,20,47,55,62
2089,Tuesday December 30, 2025,L,12,55,56,74
